country,name,full_name,isin,currency,symbol,Type,Avg_Volume,Recommendation
brazil,Microsoft Corp BDR,Microsoft Corp BDR,BRMSFTBDR005,BRL,MSFT34,BDR,141384.0,none
brazil,Renova Energia Pref,Renova Energia SA Pref,BRRNEWACNPR5,BRL,RNEW4,PN,124854.0,none
brazil,CSHG Brasil Shopping,CSHG Brasil Shopping,BRHGBSCTF000,BRL,HGBS11,FII/Unit,115063.0,none
brazil,TAEE Pref,Transmissora Alianca de Energia Eletrica SA Pref,BRTAEEACNPR6,BRL,TAEE4,PN,114050.0,none
brazil,INDS ROMI ON,Industrias Romi SA,BRROMIACNOR8,BRL,ROMI3,ON,113714.0,none
brazil,ITAUSA ON,Itausa - Investimentos Itau SA,BRITSAACNOR0,BRL,ITSA3,ON,111903.0,none
brazil,LOPES BRASIL ON,LPS Brasil Consultoria de Imoveis,BRLPSBACNOR0,BRL,LPSB3,ON,111882.0,none
brazil,FII KINEA RI,FII KINEA RI,BRKNCRCTF000,BRL,KNCR11,FII/Unit,111607.0,none
brazil,ETERNIT ON,Eternit SA,BRETERACNOR3,BRL,ETER3,ON,97560.0,none
brazil,Polo FII Recebiveis Imobiliarios II,Polo FII Recebiveis Imobiliarios II,BRPORDCTF005,BRL,PORD11,FII/Unit,83728.0,none
brazil,Centro de Imagem Diagnosticos,Centro de Imagem Diagnosticos SA,BRAALRACNOR6,BRL,AALR3,ON,78812.0,none
brazil,LUPATECH ON,Lupatech SA,BRLUPAACNOR8,BRL,LUPA3,ON,76801.0,none
brazil,Kinea Private Equity,Kinea Private Equity Investimentos SA,BRKNIPCTF001,BRL,KNIP11,FII/Unit,76633.0,none
brazil,SANTANDER BRPN,Banco Santander Brasil SA,BRSANBACNPR5,BRL,SANB4,PN,73721.0,none
brazil,SANTANDER BRON,Banco Santander SA B3,BRSANBACNOR8,BRL,SANB3,ON,68964.0,none
brazil,TECHNOS ON,Technos SA,BRTECNACNOR6,BRL,TECN3,ON,68681.0,none
brazil,IRIDIUM RECEBÍVEIS IMOBILIÁRIOS,IRIDIUM RECEBÍVEIS IMOBILIÁRIOS,BRIRDMCTF004,BRL,IRDM11,FII/Unit,64823.0,none
brazil,TAEE 3,Transmissora Alianca de Energia Eletrica SA,BRTAEEACNOR9,BRL,TAEE3,ON,63935.0,none
brazil,Renova Energia,Renova Energia SA,BRRNEWACNOR8,BRL,RNEW3,ON,62657.0,none
brazil,Wal Mart Stores Inc BDR,Wal Mart Stores Inc BDR,BRWALMBDR005,BRL,WALM34,BDR,48826.0,none
brazil,FII TG Ativo Real,FII TG Ativo Real,BRTGARCTF009,BRL,TGAR11,FII/Unit,47968.0,none
brazil,Netflix Inc DRC,Netflix Inc DRC,BRNFLXBDR000,BRL,NFLX34,BDR,46956.0,none
brazil,VIVER ON,Viver Incorporadora e Construtora,BRVIVRACNOR4,BRL,VIVR3,ON,43928.0,none
brazil,BRADESPAR ON,Bradespar SA,BRBRAPACNOR5,BRL,BRAP3,ON,42328.0,none
